p_bias,max_step_size,time,success,cost
0.05,0.5,8.08887444998254,True,2.243681169189942
0.05,1.0,0.0944600439979694,True,1.9811218161234108
0.05,2.0,2.3592648899939377,True,1.688994243386877
0.2,0.5,12.956188224983634,False,inf
0.2,1.0,0.3463208070024848,True,1.663916797512651
0.2,2.0,8.516785771993455,True,1.7278005558651677
0.05,0.5,12.686491697997551,False,inf
0.05,0.5,0.0471348630089778,True,1.3089739700985217
0.05,0.5,0.1886824849934782,True,1.668618258265564
0.05,0.5,0.1542097899946384,True,1.5812793808383063
0.05,0.5,0.1281570759892929,True,1.3883092993334885
0.05,0.5,0.7968688829860184,True,1.590235390956087
0.05,0.5,0.2146562080015428,True,3.4887408623598155
0.05,0.5,11.076793418003945,True,2.847350857926391
0.05,0.5,14.861141125991708,False,inf
0.05,0.5,13.165034648001892,False,inf
0.05,1.0,15.720621312008006,True,1.513005361270566
0.05,1.0,16.708838469989132,False,inf
0.05,1.0,0.0264711359923239,True,1.328412387885569
0.05,1.0,0.4567258580063935,True,3.907897209729584
0.05,1.0,0.0615141590242274,True,1.303211264593796
0.05,1.0,3.940562236006372,True,1.1302410046105158
0.05,1.0,0.1009683150041382,True,1.304271292792907
0.05,1.0,1.6725174309976865,True,1.6843727904290162
0.05,1.0,4.354076312010875,True,2.479433241009642
0.05,1.0,0.2216933229938149,True,1.392335462021563
0.05,2.0,0.614291055011563,True,3.655394129164982
0.05,2.0,14.438916458981112,False,inf
0.05,2.0,14.059430045977932,False,inf
0.05,2.0,3.844764025008772,True,1.9859402822853245
0.05,2.0,0.4659997929993551,True,3.2406363796986337
0.05,2.0,0.1604883529944345,True,2.792534237534837
0.05,2.0,12.292938948987285,True,2.2026569755079377
0.05,2.0,6.305072449991712,True,1.3987376290394486
0.05,2.0,13.937105244986014,False,inf
0.05,2.0,7.787727140006609,True,1.5878279658928776
0.2,0.5,10.666225755005144,False,inf
0.2,0.5,0.0444433009834028,True,1.611108189288618
0.2,0.5,0.0346192230063024,True,1.8073249485580225
0.2,0.5,0.0443051540059968,True,1.8152418513909263
0.2,0.5,0.0299752360151615,True,1.46075660385891
0.2,0.5,0.0610326699970755,True,2.3652015655714678
0.2,0.5,0.0531289600185118,True,1.7044406423234335
0.2,0.5,10.434408453991637,False,inf
0.2,0.5,7.013542714004871,True,1.2494015328941983
0.2,0.5,11.901893169997493,False,inf
0.2,1.0,8.268820780998794,True,2.3807723663842206
0.2,1.0,0.0532081599812954,True,1.3772922427456609
0.2,1.0,0.0721105480042751,True,1.9424821214723191
0.2,1.0,0.0463638099899981,True,2.060167852266717
0.2,1.0,8.01096864498686,True,1.6819938390987847
0.2,1.0,0.0983432439970783,True,1.7979595962852335
0.2,1.0,0.4299592910101637,True,4.648186355715001
0.2,1.0,0.0608172780193854,True,1.7500590505078182
0.2,1.0,7.4821428550058044,True,1.4793713244339686
0.2,1.0,0.1630296150106005,True,2.087398277008956
0.2,2.0,0.6650885569979437,True,2.280187902490151
0.2,2.0,11.683168681018287,False,inf
0.2,2.0,4.847561414004304,True,1.962469718207604
0.2,2.0,12.020297754992498,False,inf
0.2,2.0,4.6265145459910855,True,3.2283053702809976
0.2,2.0,1.3984163350251038,True,2.463819025920092
0.2,2.0,0.5264975449827034,True,4.571846412337351
0.2,2.0,13.27140864499961,False,inf
0.2,2.0,0.4537874760280829,True,1.9841900156554333
0.2,2.0,3.597671079012798,True,2.1478876721227778
0.05,0.5,0.1923620270099491,True,1.6073896814283437
0.05,0.5,16.8801307810063,False,inf
0.05,0.5,0.1195579520135652,True,1.7679225446629452
0.05,0.5,4.295049916021526,True,3.973289573825356
0.05,0.5,12.601281912997363,False,inf
0.05,1.0,0.1399185640038922,True,1.3663962680526178
0.05,1.0,0.2883322580019012,True,2.174077997136945
0.05,1.0,11.784972582012417,True,2.338645876804779
0.05,1.0,0.0467744089837651,True,1.5124844587455464
0.05,1.0,0.0860291679855436,True,1.3113394291971414
0.05,2.0,0.2136337950068991,True,3.7290803345376937
0.05,2.0,7.2222599999804515,True,2.457373378289954
0.05,2.0,1.2679243799939286,True,2.876606763274085
0.05,2.0,11.103938735992417,True,2.205700453661364
0.05,2.0,0.3991706779925152,True,2.761847057338941
0.2,0.5,0.1741794290137477,True,1.6803968462194636
0.2,0.5,0.0566796439816243,True,1.6356863110378297
0.2,0.5,0.0274768579984083,True,1.149759367420477
0.2,0.5,11.453595953003967,False,inf
0.2,0.5,7.133105066022836,True,1.1875631171633676
0.2,1.0,13.67561575002037,False,inf
0.2,1.0,0.0443121379939839,True,1.602960925509741
0.2,1.0,0.0304873860150109,True,1.3086297572648449
0.2,1.0,0.1209840499795973,True,2.722513604866429
0.2,1.0,8.65323208400514,True,1.3845971280666198
0.2,2.0,1.5931985179777255,True,2.099525082400048
0.2,2.0,0.0442295849788934,True,2.2839240304265376
0.2,2.0,13.137152149982285,False,inf
0.2,2.0,0.0723413040104787,True,1.4116706557656606
0.2,2.0,11.996995686989976,False,inf
0.05,0.5,0.6958812210068572,True,2.0661617283856994
0.05,0.5,0.1006973290059249,True,1.3752621796181324
0.05,0.5,14.433099619986024,False,inf
0.05,0.5,0.232539115997497,True,1.63567185736627
0.05,0.5,13.3809816709836,False,inf
0.05,1.0,0.0659159350034315,True,1.4125075344762046
0.05,1.0,6.462139884999488,True,1.466169330539057
0.05,1.0,0.0593374019954353,True,1.44815008835717
0.05,1.0,0.0427512460155412,True,1.3429113010927018
0.05,1.0,0.1919142710103187,True,3.018697357420103
